,class,precision,recall,f_score,support
0,walking,0.7365439093484419,0.8858603066439523,0.8043310131477186,587
1,climbing stairs,0.7586206896551724,0.2716049382716049,0.39999999999999997,162
2,chopping food,1.0,0.853448275862069,0.9209302325581395,116
3,riding elevator,0.42857142857142855,0.13043478260869565,0.2,69
4,brushing teeth,0.14285714285714285,1.0,0.25,3
5,riding escalator,0.6219512195121951,0.4146341463414634,0.49756097560975604,123
6,talking to people,0.4697986577181208,0.7070707070707071,0.564516129032258,99
7,watching tv,0.2926829268292683,0.3333333333333333,0.3116883116883117,36
8,eating,0.8231611893583725,0.9740740740740741,0.8922815945716708,540
9,cooking on stove,0.9473684210526315,0.9473684210526315,0.9473684210526315,19
10,browsing mobile phone,0.9666666666666667,0.9119496855345912,0.9385113268608414,159
11,washing dishes,0.8181818181818182,0.9473684210526315,0.8780487804878049,19
12,working on pc,0.8295454545454546,0.5887096774193549,0.6886792452830188,124
13,reading,0.9514285714285714,0.8582474226804123,0.9024390243902438,388
14,writing,0.9605263157894737,0.9358974358974359,0.948051948051948,78
15,lying down,0.916256157635468,0.9637305699481865,0.9393939393939394,193
16,running,0.9608540925266904,0.903010033444816,0.9310344827586206,299
17,doing push ups,0.9743589743589743,0.8986486486486487,0.9349736379613357,296
18,doing sit ups,0.885593220338983,0.8228346456692913,0.8530612244897959,254
19,cycling,0.6842105263157895,0.8425925925925926,0.7551867219917012,216
