,class,precision,recall,f_score,support
0,walking,0.972972972972973,0.8571428571428571,0.9113924050632912,42
1,walking upstairs,0.9056603773584906,0.8888888888888888,0.897196261682243,54
2,walking downstairs,0.5813953488372093,0.8333333333333334,0.684931506849315,30
3,riding elevator up,0.6060606060606061,0.47619047619047616,0.5333333333333333,42
4,riding elevator down,0.5094339622641509,0.9,0.6506024096385542,30
5,riding escalator up,0.9047619047619048,0.9047619047619048,0.9047619047619048,42
6,riding escalator down,0.9736842105263158,0.8809523809523809,0.925,42
7,sitting,0.9642857142857143,0.6428571428571429,0.7714285714285715,42
8,eating,1.0,0.9523809523809523,0.975609756097561,42
9,drinking,0.7586206896551724,0.4074074074074074,0.5301204819277108,54
10,texting,0.8913043478260869,0.9761904761904762,0.9318181818181818,42
11,phone calls,0.5853658536585366,0.8,0.676056338028169,30
12,working on pc,0.9545454545454546,1.0,0.9767441860465117,42
13,reading,0.967741935483871,1.0,0.9836065573770492,30
14,writing sentences,0.9666666666666667,0.9666666666666667,0.9666666666666667,30
15,organizing files,0.9736842105263158,0.8809523809523809,0.925,42
16,running,0.9333333333333333,0.9333333333333333,0.9333333333333333,30
17,push-ups,0.8852459016393442,1.0,0.9391304347826086,54
18,sit-ups,0.7209302325581395,0.7380952380952381,0.7294117647058824,42
19,cycling,0.875,0.9333333333333333,0.9032258064516129,30
