,class,precision,recall,f_score,support
0,walking,0.8055555555555556,0.6904761904761905,0.7435897435897436,42
1,walking upstairs,0.7377049180327869,0.8333333333333334,0.782608695652174,54
2,walking downstairs,0.8,0.8,0.8000000000000002,30
3,riding elevator up,0.0,0.0,0.0,42
4,riding elevator down,0.43902439024390244,0.6,0.5070422535211268,30
5,riding escalator up,0.5,0.5,0.5,42
6,riding escalator down,0.6153846153846154,0.19047619047619047,0.2909090909090909,42
7,sitting,0.5342465753424658,0.9285714285714286,0.6782608695652174,42
8,eating,0.5483870967741935,0.40476190476190477,0.4657534246575342,42
9,drinking,0.3333333333333333,0.3888888888888889,0.358974358974359,54
10,texting,0.5454545454545454,0.42857142857142855,0.4799999999999999,42
11,phone calls,0.4,0.2,0.26666666666666666,30
12,working on pc,0.4861111111111111,0.8333333333333334,0.6140350877192983,42
13,reading,0.6153846153846154,0.8,0.6956521739130435,30
14,writing sentences,0.6046511627906976,0.8666666666666667,0.7123287671232877,30
15,organizing files,0.42857142857142855,0.2857142857142857,0.34285714285714286,42
16,running,1.0,0.9,0.9473684210526316,30
17,push-ups,1.0,0.9259259259259259,0.9615384615384615,54
18,sit-ups,0.9761904761904762,0.9761904761904762,0.9761904761904762,42
19,cycling,0.5106382978723404,0.8,0.6233766233766233,30
