,walking,walking upstairs,walking downstairs,riding elevator up,riding elevator down,riding escalator up,riding escalator down,sitting,eating,drinking,texting,phone calls,working on pc,reading,writing sentences,organizing files,running,push-ups,sit-ups,cycling
walking,0.73,0.01,0.06,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.13
walking upstairs,0.0,0.72,0.12,0.01,0.01,0.04,0.0,0.0,0.0,0.01,0.0,0.04,0.0,0.0,0.01,0.0,0.01,0.02,0.01,0.0
walking downstairs,0.0,0.03,0.8,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.01,0.08,0.0,0.0
riding elevator up,0.0,0.0,0.01,0.55,0.41,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
riding elevator down,0.0,0.0,0.01,0.11,0.85,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
riding escalator up,0.0,0.04,0.0,0.0,0.0,0.92,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
riding escalator down,0.0,0.0,0.0,0.0,0.0,0.08,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
sitting,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,0.05,0.0,0.01,0.0,0.0,0.03,0.0,0.26,0.02
eating,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.86,0.03,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.03,0.02,0.0
drinking,0.01,0.0,0.06,0.17,0.08,0.0,0.01,0.02,0.04,0.33,0.02,0.18,0.0,0.0,0.0,0.02,0.01,0.04,0.01,0.01
texting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0
phone calls,0.08,0.01,0.03,0.0,0.0,0.01,0.01,0.02,0.0,0.05,0.0,0.73,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.03
working on pc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reading,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.03,0.02,0.0,0.0,0.0,0.0
writing sentences,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
organizing files,0.0,0.01,0.02,0.0,0.0,0.0,0.01,0.0,0.03,0.04,0.06,0.0,0.04,0.01,0.02,0.72,0.0,0.0,0.02,0.0
running,0.02,0.0,0.03,0.01,0.04,0.0,0.01,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.83,0.0,0.0,0.01
push-ups,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.0
sit-ups,0.0,0.01,0.15,0.0,0.02,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.7,0.0
cycling,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.9
