,class,precision,recall,f_score,support
0,walking,0.8818443804034583,0.7285714285714285,0.7979139504563234,420
1,walking upstairs,0.8963133640552995,0.7203703703703703,0.7987679671457906,540
2,walking downstairs,0.4948665297741273,0.8033333333333333,0.6124523506988564,300
3,riding elevator up,0.6205962059620597,0.5452380952380952,0.5804816223067174,420
4,riding elevator down,0.5120481927710844,0.85,0.6390977443609023,300
5,riding escalator up,0.8520971302428256,0.919047619047619,0.8843069873997709,420
6,riding escalator down,0.8951219512195122,0.8738095238095238,0.8843373493975905,420
7,sitting,0.9051094890510949,0.5904761904761905,0.7146974063400577,420
8,eating,0.8853658536585366,0.8642857142857143,0.8746987951807229,420
9,drinking,0.6766917293233082,0.3333333333333333,0.4466501240694789,540
10,texting,0.9166666666666666,0.9428571428571428,0.9295774647887323,420
11,phone calls,0.5763157894736842,0.73,0.6441176470588235,300
12,working on pc,0.963302752293578,1.0,0.9813084112149533,420
13,reading,0.9501661129568106,0.9533333333333334,0.9517470881863561,300
14,writing sentences,0.9088145896656535,0.9966666666666667,0.9507154213036566,300
15,organizing files,0.8145161290322581,0.7214285714285714,0.7651515151515151,420
16,running,0.7861635220125787,0.8333333333333334,0.8090614886731391,300
17,push-ups,0.8721311475409836,0.9851851851851852,0.9252173913043478,540
18,sit-ups,0.665158371040724,0.7,0.6821345707656612,420
19,cycling,0.7670454545454546,0.9,0.8282208588957056,300
